#Time	x(km)		y(km)		z(km)		alt(km)	    relVel		dwnrng(km)	 Q(kPa)	   Fuel(tons) dV_tot	  dV_grav	  dv_drag		 throttle	accel (g's)	      aoa
 25.03	-2672.610	-4517.317	 3624.836	   0.611	  55.018	0.056	     1.750	   339.903	   314.664	     0.000	     0.000	     1.000	     1.295	     4.896	    83.593	    88.489
 26.03	-2672.636	-4517.359	 3624.863	   0.667	  57.985	0.062	     1.934	   337.788	   327.390	     0.000	     0.000	     1.000	     1.302	     4.916	    83.572	    88.488
 27.03	-2672.664	-4517.403	 3624.891	   0.726	  61.019	0.069	     2.130	   335.673	   340.184	     0.000	     0.000	     1.000	     1.309	     4.929	    83.558	    88.487
 28.03	-2672.693	-4517.450	 3624.921	   0.788	  64.120	0.076	     2.338	   333.558	   353.045	     0.000	     0.000	     1.000	     1.316	     4.936	    83.551	    88.487
 29.03	-2672.724	-4517.499	 3624.952	   0.854	  67.289	0.083	     2.559	   331.443	   365.975	     0.000	     0.000	     1.000	     1.323	     4.937	    83.549	    88.486
 30.03	-2672.756	-4517.550	 3624.984	   0.922	  70.527	0.091	     2.792	   329.328	   378.975	     0.000	     0.000	     1.000	     1.330	     4.934	    83.552	    88.485
 31.03	-2672.790	-4517.604	 3625.019	   0.994	  73.836	0.099	     3.039	   327.213	   392.046	     0.000	     0.000	     1.000	     1.337	     4.926	    83.559	    88.484
 32.03	-2672.825	-4517.660	 3625.054	   1.069	  77.216	0.107	     3.300	   325.098	   405.189	     0.000	     0.000	     1.000	     1.344	     4.914	    83.570	    88.484
 33.03	-2672.862	-4517.719	 3625.092	   1.147	  80.668	0.116	     3.574	   322.984	   418.405	     0.000	     0.000	     1.000	     1.352	     4.899	    83.585	    88.483
 34.03	-2672.901	-4517.780	 3625.131	   1.229	  84.193	0.125	     3.863	   320.869	   431.695	     0.000	     0.000	     1.000	     1.359	     4.881	    83.602	    88.482
 35.03	-2672.941	-4517.844	 3625.172	   1.314	  87.794	0.135	     4.165	   318.754	   445.060	     0.000	     0.000	     1.000	     1.367	     4.860	    83.622	    88.482
 36.03	-2672.983	-4517.911	 3625.214	   1.403	  91.469	0.145	     4.482	   316.639	   458.501	     0.000	     0.000	     1.000	     1.375	     4.837	    83.645	    88.481
 37.03	-2673.026	-4517.980	 3625.259	   1.496	  95.222	0.155	     4.813	   314.524	   472.021	     0.000	     0.000	     1.000	     1.383	     4.812	    83.669	    88.480
 38.02	-2673.072	-4518.052	 3625.305	   1.592	  99.052	0.166	     5.159	   312.409	   485.619	     0.000	     0.000	     1.000	     1.391	     4.785	    83.695	    88.479
 39.02	-2673.119	-4518.127	 3625.353	   1.693	 102.962	0.177	     5.519	   310.294	   499.296	     0.000	     0.000	     1.000	     1.399	     4.756	    83.723	    88.479
 40.02	-2673.168	-4518.205	 3625.403	   1.797	 106.951	0.188	     5.893	   308.179	   513.055	     0.000	     0.000	     1.000	     1.407	     4.726	    83.752	    88.478
 41.02	-2673.219	-4518.286	 3625.455	   1.905	 111.022	0.200	     6.282	   306.064	   526.896	     0.000	     0.000	     1.000	     1.415	     4.716	    83.786	    88.500
 42.02	-2673.272	-4518.370	 3625.509	   2.017	 115.175	0.212	     6.686	   303.950	   540.821	     0.000	     0.000	     1.000	     1.424	     4.681	    83.820	    88.499
 43.02	-2673.327	-4518.457	 3625.565	   2.134	 119.412	0.225	     7.103	   301.835	   554.830	     0.000	     0.000	     1.000	     1.432	     4.645	    83.855	    88.499
